ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Selected_view,Selected_cls,Prediction,Accuracy,Oracle_view
0 (0.08),0 (0.44),0 (0.2),0 (0.04),0 (0.0),0 (0.0),0 (0.2),0 (0.32),0 (0.16),0 (0.0),0 (0.0),0 (0.0),0 (0.12),0 (0.2),0 (0.04),0,"ELECTRA,ELMO,LLAMA,RoBERTa,W2V",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0)",TRUE,TRUE
0 (0.28),0 (0.24),1 (0.44),0 (0.36),0 (0.2),0 (0.08),0 (0.2),0 (0.08),0 (0.16),0 (0.04),0 (0.04),0 (0.08),0 (0.04),0 (0.08),0 (0.2),0,"LLAMA,RoBERTa,XLNET",LLAMA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0)",TRUE,TRUE
1 (0.24),1 (0.4),1 (0.04),1 (0.04),1 (0.36),1 (0.0),1 (0.0),1 (0.28),1 (0.24),1 (0.2),1 (0.12),1 (0.2),1 (0.08),1 (0.0),1 (0.0),1,"ELMO,Falcon,LLAMA3,MISTRAL",ELMO,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1)",TRUE,TRUE
0 (0.0),0 (0.0),0 (0.0),0 (0.04),0 (0.04),0 (0.0),0 (0.12),0 (0.2),0 (0.2),0 (0.08),0 (0.2),0 (0.2),0 (0.44),0 (0.04),0 (0.0),0,"ALBERT,BART,BERT,ELMO,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0)",TRUE,TRUE
0 (0.16),0 (0.44),0 (0.08),0 (0.0),0 (0.24),0 (0.24),0 (0.16),0 (0.24),0 (0.32),0 (0.0),0 (0.04),0 (0.16),0 (0.0),0 (0.04),0 (0.04),0,"DistilBERT,LLAMA,XLNET",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0)",TRUE,TRUE
0 (0.12),0 (0.32),0 (0.04),0 (0.0),0 (0.0),0 (0.16),0 (0.0),0 (0.16),1 (0.36),0 (0.0),0 (0.28),0 (0.12),0 (0.16),0 (0.0),0 (0.0),0,"DistilBERT,ELECTRA,Falcon,LLAMA,LLAMA3,MISTRAL",DistilBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 0, 0, 0, 0, 0)",TRUE,TRUE
1 (0.0),1 (0.6),1 (0.04),1 (0.0),1 (0.12),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.08),1 (0.0),0 (0.44),1 (0.0),0 (0.2),1,"ALBERT,DistilBERT,Falcon,Fasttext,Glove,LLAMA,W2V,LLAMA3",ALBERT,"BiLSTM, CNN, KNN, LR, MLP, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.0),1 (0.12),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.2),1 (0.12),1 (0.0),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1,"ALBERT,BERT,DistilBERT,ELECTRA,ELMO,Falcon,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1 (0.0),1,"ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL",ALBERT,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",TRUE,TRUE
0 (0.2),1 (0.52),1 (0.12),1 (0.48),0 (0.0),1 (0.4),1 (0.44),1 (0.12),1 (0.0),1 (0.32),0 (0.44),1 (0.2),0 (0.24),0 (0.32),1 (0.16),0,"ELECTRA,Glove",ELECTRA,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost","(0, 1)",TRUE,TRUE
