ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Prediction,Selected,Accuracy,Oracle_view
1 (0.36),1 (0.32),1 (0.48),1 (0.08),1 (0.48),1 (0.08),1 (0.12),1 (0.04),1 (0.0),1 (0.0),1 (0.44),1 (0.12),1 (0.08),1 (0.12),1 (0.12),1,"Glove,LLAMA","(1, 1)",Glove,TRUE,TRUE
1 (0.36),0 (0.16),1 (0.32),1 (0.12),0 (0.6),0 (0.52),0 (0.36),0 (0.4),1 (0.36),0 (0.12),1 (0.48),1 (0.28),1 (0.28),0 (0.16),0 (0.16),0,"DistilBERT,LLAMA","(1, 0)",LLAMA,TRUE,TRUE
1 (0.56),1 (0.12),1 (0.12),1 (0.12),0 (0.24),1 (0.0),1 (0.0),1 (0.04),1 (0.0),1 (0.0),1 (0.32),1 (0.0),1 (0.4),1 (0.0),1 (0.0),1,"ELMO,Falcon,Glove,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1, 1)",ELMO,TRUE,TRUE
0 (0.64),1 (0.44),1 (0.56),1 (0.32),1 (0.28),1 (0.32),1 (0.04),0 (0.12),0 (0.32),1 (0.16),1 (0.4),1 (0.24),0 (0.36),1 (0.08),1 (0.08),1,Falcon,"(1,)",Falcon,TRUE,TRUE
0 (0.24),0 (0.44),0 (0.2),0 (0.12),0 (0.24),0 (0.0),0 (0.04),0 (0.44),0 (0.4),0 (0.12),0 (0.08),0 (0.44),0 (0.48),0 (0.0),0 (0.0),0,"ELMO,LLAMA3,MISTRAL","(0, 0, 0)",ELMO,TRUE,TRUE
1 (0.56),1 (0.28),1 (0.4),1 (0.44),1 (0.48),1 (0.04),1 (0.0),1 (0.0),1 (0.08),1 (0.0),1 (0.52),1 (0.0),1 (0.24),1 (0.0),1 (0.0),1,"Falcon,Fasttext,LLAMA,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1)",Falcon,TRUE,TRUE
1 (0.12),0 (0.48),0 (0.44),0 (0.36),0 (0.24),0 (0.48),0 (0.04),0 (0.44),1 (0.4),0 (0.12),0 (0.0),0 (0.56),0 (0.28),0 (0.04),0 (0.04),0,RoBERTa,"(0,)",RoBERTa,TRUE,TRUE
0 (0.0),0 (0.36),0 (0.24),0 (0.36),0 (0.0),0 (0.28),0 (0.04),0 (0.32),0 (0.4),0 (0.2),0 (0.04),0 (0.12),0 (0.0),0 (0.04),0 (0.04),0,"ALBERT,ELECTRA,XLNET","(0, 0, 0)",ALBERT,TRUE,TRUE
1 (0.16),1 (0.32),1 (0.08),1 (0.16),1 (0.36),1 (0.2),1 (0.0),1 (0.28),1 (0.04),1 (0.0),1 (0.0),1 (0.0),1 (0.64),1 (0.0),1 (0.0),1,"Falcon,LLAMA,RoBERTa,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1, 1, 1)",Falcon,TRUE,TRUE
1 (0.24),1 (0.32),1 (0.4),1 (0.48),1 (0.44),1 (0.04),1 (0.12),1 (0.32),1 (0.24),1 (0.12),1 (0.4),1 (0.04),1 (0.36),1 (0.04),1 (0.04),1,"ELMO,W2V,LLAMA3,MISTRAL","(1, 1, 1, 1)",ELMO,TRUE,TRUE
