ALBERT,BART,BERT,DistilBERT,ELECTRA,ELMO,Falcon,Fasttext,Glove,LLAMA,RoBERTa,W2V,XLNET,LLAMA3,MISTRAL,TRUE,Min_IH,Prediction,Selected_view,Selected_cls,Accuracy,Oracle_view
3 (0.84),3 (0.8),4 (0.84),4 (0.84),4 (0.84),1 (0.72),3 (0.76),4 (0.88),3 (0.84),1 (0.76),1 (0.72),1 (0.76),4 (0.84),3 (0.84),3 (0.68),2,MISTRAL,"(3,)",MISTRAL,"AdaBoost, BiLSTM, CNN, LR, MLP, RF, SVM, XGBoost",FALSE,FALSE
4 (0.6),3 (0.76),4 (0.6),4 (0.8),4 (0.96),4 (0.64),3 (0.76),4 (0.72),4 (0.72),1 (0.8),4 (0.52),1 (0.72),1 (0.76),4 (0.76),3 (0.68),5,RoBERTa,"(4,)",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, NB, RF, SVM, XGBoost",FALSE,FALSE
3 (0.8),1 (0.8),3 (0.8),1 (0.64),1 (0.88),1 (0.84),1 (0.72),3 (0.8),3 (0.88),1 (0.96),3 (0.84),3 (0.72),0 (0.96),3 (0.96),3 (0.72),4,DistilBERT,"(1,)",DistilBERT,"BiLSTM, CNN, KNN, MLP",FALSE,FALSE
3 (0.76),2 (0.76),3 (0.92),3 (0.88),3 (0.88),2 (0.88),1 (0.6),2 (0.72),0 (0.72),3 (0.68),3 (0.6),2 (0.76),3 (0.84),2 (0.72),4 (0.6),3,"Falcon,RoBERTa,MISTRAL","(1, 3, 4)",RoBERTa,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM",TRUE,TRUE
4 (0.8),4 (0.88),3 (0.96),3 (0.8),3 (0.8),2 (0.52),4 (0.52),2 (0.76),2 (0.72),4 (0.64),4 (0.92),2 (0.52),3 (0.76),4 (0.84),4 (0.8),4,"ELMO,Falcon,W2V","(2, 4, 2)",Falcon,"BiLSTM, CNN, MLP, SVM",TRUE,TRUE
1 (0.84),2 (0.84),1 (0.72),1 (0.64),3 (0.8),1 (0.88),4 (0.76),1 (0.96),3 (0.6),2 (0.84),3 (0.76),1 (0.96),0 (0.84),2 (0.84),1 (0.68),5,Glove,"(3,)",Glove,"KNN, MLP, NB, RF, XGBoost",FALSE,FALSE
2 (0.72),3 (0.92),3 (0.8),1 (0.76),2 (0.76),2 (0.64),0 (0.88),1 (0.88),0 (0.68),3 (0.64),3 (0.76),1 (0.76),3 (0.76),1 (0.8),2 (0.88),3,"ELMO,LLAMA","(2, 3)",LLAMA,"AdaBoost, BiLSTM, CNN, KNN, RF, SVM",TRUE,TRUE
1 (0.92),3 (0.72),2 (0.92),1 (0.72),1 (0.84),1 (0.76),1 (0.72),3 (0.84),1 (0.72),3 (0.96),0 (0.8),4 (0.92),1 (0.84),4 (0.76),0 (0.76),1,"BART,DistilBERT,Falcon,Glove","(3, 1, 1, 1)",DistilBERT,"KNN, LR, NB, RF, XGBoost",TRUE,TRUE
1 (0.76),4 (0.68),4 (0.8),3 (0.88),1 (0.72),4 (0.8),4 (0.8),4 (0.84),1 (0.8),4 (0.72),4 (0.88),4 (0.8),1 (0.88),4 (0.84),3 (0.76),3,BART,"(4,)",BART,"KNN, NB",FALSE,TRUE
2 (0.76),1 (0.84),2 (0.84),2 (0.76),0 (0.72),0 (0.76),2 (0.84),3 (0.88),2 (0.8),2 (0.68),2 (0.92),2 (0.72),3 (0.84),2 (0.8),2 (0.88),2,LLAMA,"(2,)",LLAMA,"AdaBoost, BiLSTM, CNN, KNN, MLP, NB, RF, SVM",TRUE,TRUE
5 (0.88),1 (0.64),4 (0.76),4 (0.84),4 (0.8),5 (0.72),4 (0.72),5 (0.84),4 (0.88),4 (0.8),4 (0.72),5 (0.84),5 (0.84),4 (0.68),4 (0.72),1,BART,"(1,)",BART,"KNN, LR",TRUE,TRUE
2 (0.88),1 (0.8),3 (0.76),3 (0.88),3 (0.88),2 (0.64),1 (0.76),1 (0.6),1 (0.68),1 (0.68),1 (0.8),1 (0.68),2 (0.84),1 (0.68),1 (0.72),4,Fasttext,"(1,)",Fasttext,"AdaBoost, BiLSTM, CNN, KNN, LR, MLP, RF, SVM",FALSE,FALSE
